neighborhood,name,lat,lon,address,categories,has_cuisine_tag,cuisine_raw,has_opening_hours,opening_hours_raw,has_price_signal,price_signal_raw
Allston/BU,Crispy Crêpes Café,42.3496106,-71.1056579,"Crispy Crêpes Café, 714 Commonwealth Avenue, Boston, MA 02215, United States of America",catering;catering.restaurant,True,crepe;sandwich;kebab;breakfast,False,,False,
Allston/BU,University Grill and Pizza,42.3495951,-71.1055778,"University Grill and Pizza, 712 Commonwealth Avenue, Boston, MA 02215, United States of America",catering;catering.restaurant;catering.restaurant.greek,True,greek;pizza,True,10:00-22:00,False,
Allston/BU,Insomnia Cookies,42.3495709,-71.1053904,"Insomnia Cookies, 708 Commonwealth Avenue, Boston, MA 02215, United States of America",catering;catering.restaurant;commercial;commercial.food_and_drink;commercial.food_and_drink.bakery,True,snack,True,Mo-We 11:00-03:00; Sa 12:00-03:00; Su 12:00-01:00,False,
Allston/BU,Bejing Cafe,42.3496762,-71.1063293,"Bejing Cafe, 728 Commonwealth Avenue, Boston, MA 02215, United States of America",catering;catering.restaurant;catering.restaurant.chinese,True,chinese,True,Mo-Su 11:00-21:30,False,
Allston/BU,Warren Towers Dining Hall,42.3493957,-71.1040558,"Warren Towers Dining Hall, 700 Commonwealth Avenue, Boston, MA 02215, United States of America",catering;catering.restaurant,False,,True,"""No public access""",False,
Allston/BU,Nud Pob,42.3498593,-71.1073101,"Nud Pob, 738 Commonwealth Avenue, Boston, MA 02215, United States of America",catering;catering.restaurant;catering.restaurant.thai,True,thai,True,"Mo-Fr 11:00-15:00,16:00-22:00; Sa,Su 00:00-15:00,16:00-22:00",False,
Allston/BU,Basho Express,42.3494125,-71.1033215,"Basho Express, 700 Commonwealth Avenue, Boston, MA 02215, United States of America",catering;catering.restaurant;catering.restaurant.asian,True,asian,True,11:00-21:00,False,
Allston/BU,Noodle Street,42.3497799,-71.1016122,"Noodle Street, 627 Commonwealth Avenue, Boston, MA 02215, United States of America",building;building.catering;building.commercial;catering;catering.restaurant;catering.restaurant.thai,True,thai,False,,False,
Allston/BU,Futago Udon,42.3475771,-71.1059018,"Futago Udon, 508-512 Park Drive, Boston, MA 02215, United States of America",catering;catering.restaurant,False,,False,,False,
Allston/BU,Mei Mei,42.3475266,-71.1059876,"Mei Mei, 506 Park Drive, Boston, MA 02215, United States of America",catering;catering.restaurant,False,,False,,False,
Allston/BU,Audubon,42.347314,-71.1031467,"Audubon, 838 Beacon Street, Boston, MA 02215, United States of America",catering;catering.restaurant;catering.restaurant.american,True,american,False,,False,
Allston/BU,Cafe Landwer,42.3467642,-71.1057186,"Cafe Landwer, 900 Beacon Street, Boston, MA 02215, United States of America",catering;catering.restaurant;gluten_free;vegan,True,israeli,True,Mo-Su 08:00-21:30,False,
Allston/BU,Sol Azteca,42.3465892,-71.1062333,"Sol Azteca, 914 Beacon Street, Boston, MA 02215, United States of America",catering;catering.restaurant;catering.restaurant.mexican,True,mexican,False,,False,
Allston/BU,Gyu-Kaku,42.3463697,-71.1070249,"Gyu-Kaku, 1002 Beacon Street, Brookline, MA 02446, United States of America",catering;catering.restaurant,True,japanese;barbecue,True,Mo-Sa 11:00-22:00; Su 11:00-21:30,False,
Allston/BU,Liyin Rice Roll Master,42.3463412,-71.1071426,"Liyin Rice Roll Master, Beacon Street, Brookline, MA 02215, United States of America",catering;catering.restaurant,False,,False,,False,
Allston/BU,Baby Cafe,42.3463214,-71.1072094,"Baby Cafe, Beacon Street, Brookline, MA 02215, United States of America",catering;catering.restaurant,False,,False,,False,
Allston/BU,Kyuramen,42.3463013,-71.1073159,"Kyuramen, 1004;1006;1008;1008A;1010;1012;1014;1016 Beacon Street, Brookline, MA 02215, United States of America",catering;catering.restaurant;catering.restaurant.ramen,True,ramen,False,,False,
Allston/BU,Ssaanjh,42.3462757,-71.1074772,"Ssaanjh, 1012 Beacon Street, Brookline, MA 02446, United States of America",catering;catering.restaurant;catering.restaurant.indian,True,indian,True,"Tu-Su 11:30-14:30, 17:00-22:00",False,
Allston/BU,Mighty Squirrel Taproom & Kitchen,42.3470612,-71.1011857,"Mighty Squirrel Taproom & Kitchen, 1 David Ortiz Drive, Boston, MA 02215, United States of America",catering;catering.restaurant;catering.restaurant.american,True,american;mexican,True,Mo-Fr 11:00-00:00; Sa 10:00-00:00; Su 10:00-22:00,False,
Allston/BU,Taberna de Haro,42.3458181,-71.1067723,"Taberna de Haro, 999 Beacon Street, Brookline, MA 02446, United States of America",catering;catering.restaurant;catering.restaurant.spanish;wheelchair;wheelchair.yes,True,spanish,True,"Mo-Sa 17:00+; Su,PH off",False,
Back Bay,Dirty Water Dough Co.,42.3497522,-71.0810802,"Dirty Water Dough Co., 222 Newbury Street, Boston, MA 02116, United States of America",catering;catering.restaurant;catering.restaurant.pizza,True,pizza,False,,False,
Back Bay,Umai,42.3497013,-71.0811355,"Umai, 224 Newbury Street, Boston, MA 02116, United States of America",catering;catering.restaurant;catering.restaurant.sushi,True,sushi,False,,False,
Back Bay,Joe’s American Bar & Grill,42.3505427,-71.0797493,"Joe’s American Bar & Grill, 181 Newbury Street, Boston, MA 02116, United States of America",catering;catering.restaurant;internet_access;wheelchair;wheelchair.yes,False,,True,"Mo-Fr 11:00-24:00, Sa-Su 09:00-24:00",False,
Back Bay,Typhoon Asian Bistro,42.3495821,-71.0801528,"Typhoon Asian Bistro, 725 Boylston Street, Boston, MA 02116, United States of America",catering;catering.restaurant;catering.restaurant.asian,True,asian,False,,False,
Back Bay,Stephany's on Newbury,42.350176,-71.079582,"Stephany's on Newbury, 190 Newbury Street, Boston, MA 02116, United States of America",catering;catering.restaurant;internet_access;wheelchair;wheelchair.yes,False,,False,,False,
Back Bay,Serafina,42.3498904,-71.0820805,"Serafina, 237 Newbury Street, Boston, MA 02116, United States of America",catering;catering.restaurant,False,,False,,False,
Back Bay,Atlantic Fish,42.3492931,-71.0811812,"Atlantic Fish, 761 Boylston Street, Boston, MA 02116, United States of America",catering;catering.restaurant;catering.restaurant.seafood;wheelchair;wheelchair.yes,True,seafood,False,,False,
Back Bay,Abe & Louie's,42.3491548,-71.0815528,"Abe & Louie's, 793 Boylston Street, Boston, MA 02116, United States of America",catering;catering.restaurant;catering.restaurant.steak_house;wheelchair;wheelchair.yes,True,steak_house,True,Fr 11:30-23:00; Mo-Th 11:30-22:00; Su 11:00-22:00,False,
Back Bay,Union Park Pizza,42.3494142,-71.0824006,"Union Park Pizza, 244 Newbury Street, Boston, MA 02116, United States of America",building;building.catering;catering;catering.restaurant;gluten_free;vegetarian,True,pizza;slices;italian;beer_&_wine,True,Mo-Su 11:00-22:00,False,
